course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
6390,Crestview Country Club,Agawam,Massachusetts,Shoemaker Ln,01001,-72.6584404,42.0508369,18,Private,72,6902,128,73.40,72,6695,124,72.30,73,5571,110,66.70
6392,Amherst Golf Club,Amherst,Massachusetts,365 S Pleasant St,01002,-72.52649199999999,42.36304699999999,9,Semi-Private,,,,,35,3055,117,34.30,36,2804,122,35.80
6393,Hickory Ridge Country Club,Amherst,Massachusetts,191 W Pomeroy Ln,01002,-72.528673,42.343113,18,Semi-Private,74,6794,129,72.50,74,6427,128,71.10,74,5340,117,70.40
6405,Mill Valley Country Club,Belchertown,Massachusetts,380 Mill Valley Rd,01007,-72.3729189,42.2578216,9,Semi-Private,,,,,36,2872,110,33.50,36,2191,,
6413,"Blandford Club, The",Blandford,Massachusetts,N St,01008,-72.93387010000001,42.191909,9,Private,,,,,35,2722,110,33.00,35,2437,120,34.00
6445,Chicopee Country Club,Chicopee,Massachusetts,1290 Burnett Rd,01020,-72.519452,42.182502,18,Public,71,6742,126,73.00,71,6109,120,70.40,71,5123,115,72.40
6466,Elmcrest Country Club,East Longmeadow,Massachusetts,105 Somersville Rd,01028,-72.47500939999999,42.0364835,18,Private,70,6347,120,70.20,70,5904,115,68.10,72,5363,119,70.90
6467,Pine Knoll Executive Golf Course,East Longmeadow,Massachusetts,380 Porter Rd,01028,-72.48084,42.0870038,18,Public,,,,,54,1554,,,57,1554,,
6474,Oak Ridge Golf Club,Feeding Hills,Massachusetts,850 S Westfield St,01030,-72.67516719999999,42.0398023,18,Semi-Private,70,6754,124,71.20,70,6390,120,70.00,70,5297,124,70.00
6475,Agawam Country Club,Feeding Hills,Massachusetts,128 S. Wick St,01030,-72.6843566,42.0723533,18,Public,,,,,71,6119,110,67.00,72,5370,110,70.20
6476,St. Anne Country Club,Feeding Hills,Massachusetts,781 Shoemaker Ln,01030,-72.664205,42.05488099999999,18,Public,72,6608,116,70.80,72,6412,115,69.80,72,5565,115,70.00
6485,Dunroamin Country Club,Gilbertville,Massachusetts,262 Lower Rd,01031,-72.18957999999999,42.308391,9,Semi-Private,,,,,35,2863,117,34.30,35,2401,106,33.40
6487,Westover Golf Club,Granby,Massachusetts,S St,01033,-72.52762,42.22972499999999,18,Public,72,7025,131,73.70,72,6610,129,71.70,72,5600,113,72.00
6494,Hampden Country Club,Hampden,Massachusetts,128 Wilbraham Rd,01036,-72.43736489999999,42.0651169,18,Public,72,6833,129,72.50,72,6349,126,70.10,72,5283,113,72.30
6500,Beaver Brook Golf Club,Haydenville,Massachusetts,101 Main St,01039,-72.7100581,42.3814394,9,Public,,,,,36,3150,110,34.10,38,2700,110,33.60
6505,Holyoke Country Club,Holyoke,Massachusetts,Route 5 Smiths Ferry Rd,01040,-72.60393549999999,42.2711706,9,Semi-Private,36,3239,118,34.00,36,3070,118,33.80,38,2680,118,33.20
6506,Wyckoff Country Club,Holyoke,Massachusetts,233 E Hampton Rd,01040,-72.6413518,42.2260332,18,Private,69,5744,117,68.50,69,5273,113,67.40,74,4915,,
6520,Northampton Country Club,Leeds,Massachusetts,135 Main St,01053,-72.69972369999999,42.3470495,9,Semi-Private,,,,,35,3050,113,33.80,37,2777,112,33.60
6532,Ludlow Country Club,Ludlow,Massachusetts,Tony Lema Dr,01056,-72.4613796,42.1613746,18,Private,72,6561,123,70.80,72,6201,120,68.80,72,5712,116,71.70
6559,Quaboag Country Club,Monson,Massachusetts,Palmer Rd,01057,-72.3066218,42.1264597,9,Semi-Private,,,,,34,2880,116,33.60,35,2610,113,34.60
6572,Cherry Hill Golf Course,North Amherst,Massachusetts,323 Montague Rd,01002,-72.5262987,42.42034,9,Public,35,2778,,,35,2670,101,32.90,35,2470,,
6573,Pine Grove Golf Course,Northampton,Massachusetts,254 Wilson Rd,01062,-72.664931,42.29610900000001,18,Semi-Private,,,,,72,6115,121,68.80,72,4890,114,67.30
6596,Quail Hollow Country Club,Oakham,Massachusetts,1822 Turnpike Rd,01068,-72.08924859999999,42.3616256,9,Semi-Private,35,2930,116,34.40,35,2800,112,33.30,35,2226,110,34.40
6644,Southampton Country Club,Southampton,Massachusetts,329 College Hwy,01073,-72.7258033,42.2091653,18,Public,72,6585,,,72,6125,114,69.00,71,5125,,
6649,The Orchards,South Hadley,Massachusetts,Silverwood Terrace,01075,-72.5678564,42.2639031,18,Semi-Private,71,6424,127,71.30,71,6128,125,70.00,72,5359,124,71.30
6653,Edgewood Golf Club,Southwick,Massachusetts,161 Sheep Pasture Rd,01077,-72.76773760000002,42.0406566,18,Semi-Private,71,6510,115,69.10,71,6045,113,67.60,71,5580,109,71.80
6654,Southwick Country Club,Southwick,Massachusetts,739 College Hwy,01077,-72.76838049999999,42.0797094,18,Public,,,,,71,6100,102,64.80,71,5570,102,64.80
6702,East Mountain Country Club,Westfield,Massachusetts,1458 E Mountain Rd,01085,-72.6973483,42.15758090000001,18,Public,71,6118,107,67.50,71,5819,105,66.40,71,4564,101,65.30
6703,Shaker Farms Country Club,Westfield,Massachusetts,Shaker Rd,01086,-72.74218119999999,42.0907708,18,Semi-Private,72,6804,130,72.60,72,6567,125,71.90,72,5345,114,69.40
6704,Tekoa Country Club,Westfield,Massachusetts,459 Russell Rd,01085,-72.7813259,42.13294760000001,18,Public,71,6275,118,69.60,71,5965,116,68.20,74,5369,116,71.00
6712,Springfield Country Club,West Springfield,Massachusetts,1375 Elm St,01089,-72.630089,42.123449,18,Private,72,6531,131,71.50,72,6215,129,70.10,72,5133,119,69.60
6716,Country Club of Wilbraham,Wilbraham,Massachusetts,859 Stoney Hill Rd,01095,-72.4570233,42.1124849,9,Semi-Private,36,3253,108,34.70,36,3097,108,34.70,37,2849,120,34.70
6726,Worthington Golf Club,Worthington,Massachusetts,113 Ridge Rd,01098,-72.94236339999999,42.4085546,9,Semi-Private,,,,,35,2797,115,33.40,37,2551,115,
3978,Antioch Golf Club,Antioch,Illinois,40150 N Route 59,60002,-88.1117543,42.446575,18,Public,71,6251,117,69.70,71,6029,114,68.20,70,5456,112,72.40
3981,Par d at Nickol Knoll Golf Club,Arlington Heights,Illinois,3800 N Kennicott Ave,60004,-87.99748869999999,42.1434562,9,Public,27,1163,,,27,1013,,,27,865,,
3982,Arlington Lakes Golf Club,Arlington Heights,Illinois,1211 S New Wilkes Rd,60005,-88.0024796,42.0625188,18,Public,68,5331,115,65.80,68,4976,110,64.10,68,4648,113,66.70
3983,Rolling Green Country Club,Arlington Heights,Illinois,750 N Rand Rd,60004,-88.0059449,42.13039029999999,18,Private,,,,,72,6401,129,71.70,72,5545,128,73.10
4159,Fox Run Golf Links,Elk Grove Village,Illinois,333 Plum Grove Rd,60007,-88.05995879999999,42.0141756,18,Public,70,6287,117,70.20,70,5925,113,68.60,70,5288,114,69.90
7675,Albert Lea Golf Club,Albert Lea,Minnesota,1701 Country Club Rd,56007,-93.390658,43.6705862,18,Semi-Private,,,,,71,5900,,,72,5600,,
7676,Green Lea Golf Course,Albert Lea,Minnesota,101 E Richway Dr,56007,-93.3681987,43.66433259999999,18,Public,72,6166,122,70.20,72,5970,120,69.30,72,5404,126,71.40
7936,Par d Executive at Terrace View Golf Course,Mankato,Minnesota,Hwy 22 S,56001,-93.94919999999999,44.1635237,9,Public,,,,,27,1386,66,26.00,27,1116,65,25.90
7937,Mankato Golf Club,Mankato,Minnesota,Golf Club Rd,56002,-93.9776687,44.1920623,18,Private,71,6215,130,70.20,71,5990,128,69.20,71,5009,126,68.90
7938,Minneopa Golf Club,Mankato,Minnesota,Route 9 S 169 & 160,56001,-93.9674371,44.1223003,9,Public,,,,,33,2485,104,34.10,35,2422,110,33.70
7939,Regulation at Terrace View Golf Course,Mankato,Minnesota,Hwy 22 S,56001,-93.94919999999999,44.1635237,9,Public,36,3304,118,35.50,36,3093,114,34.50,36,2464,110,34.00
8001,North Links Golf Course,North Mankato,Minnesota,RFD 2,56003,-94.033845,44.1732996,18,Public,72,6073,117,69.10,72,5624,113,67.00,72,4659,114,67.00
855,San Luis Rey Downs Golf & Country Club,Bonsall,California,31474 Golf Club Dr,92003,-117.2138012,33.2869935,18,Resort,72,6750,128,72.60,72,6365,122,70.50,72,5493,124,72.10
856,Rams Hill Country Club,Borrego Springs,California,1881 Rams Hill Rd,92004,-116.3233295,33.1938516,18,Semi-Private,72,6866,130,72.90,72,6328,123,70.10,72,5694,128,73.40
857,Road Runner Club,Borrego Springs,California,1010 Palm Canyon Dr,92004,-116.361555,33.260928,18,Semi-Private,,,,,54,2445,,,54,2445,,
858,De Anza Desert Country Club,Borrego Springs,California,509 Catarina Dr,92004,-116.382771,33.28875,18,Private,72,6778,129,73.00,72,6373,120,70.50,72,5557,118,71.40
859,Club Circle Golf Course,Borrego Springs,California,Club Circle,92004,-116.3567599,33.2328372,9,Public,,,,,27,1154,,,27,1025,,
860,Borrego Springs Resort & Country Club,Borrego Springs,California,1112 Titling T Dr,92004,-116.3581515,33.237264,36,Public,,,,,,,,,,,,
888,Regulation at Marine Memorial Golf Course,Camp Pendleton,California,Marine Corps Base Bldg 18415,92055,-117.3288745,33.2678797,18,Military,72,6711,127,72.30,72,6443,117,70.10,72,5716,125,73.10
889,Par d at Marine Memorial Golf Course,Camp Pendleton,California,Marine Corps Base Bldg 18415,92055,-117.3288745,33.2678797,9,Military,,,,,27,1600,,,27,1600,,
891,Aviara Golf Club,Carlsbad,California,7447 Batiquitos Dr,92009,-117.2852093,33.0931658,18,Resort,72,7007,137,74.20,72,6591,130,71.80,72,5007,119,69.10
892,South at La Costa Resort & Spa,Carlsbad,California,2100 Costa Del Mar Rd,92009,-117.2662262,33.0919978,18,Resort,,,,,,,,,,,,
893,Rancho Carlsbad Country Club,Carlsbad,California,5200 El Camino Real,92008,-117.2896553,33.1498051,18,Public,56,2396,,,56,2158,,,56,1955,,
894,North at La Costa Resort & Spa,Carlsbad,California,2100 Costa Del Mar Rd,92009,-117.2662262,33.0919978,18,Resort,,,,,,,,,,,,
991,Ivanhoe at Cottonwood at Rancho San Diego,El Cajon,California,3121 Willow Glen Dr,92019,-116.9050721,32.7534411,18,Public,72,6837,126,72.60,72,6525,116,70.50,72,5741,121,72.40
992,Oak Glen at Singing Hills Golf Resort,El Cajon,California,3007 Dehesa Rd,92019,-116.8844086,32.7769885,18,Resort,72,6597,122,71.30,72,6489,121,70.70,72,5549,124,71.40
993,Monte Vista at Cottonwood at Rancho San Diego,El Cajon,California,3121 Willow Glen Dr,92019,-116.9050721,32.7534411,18,Public,,,,,71,6302,116,69.50,72,5531,117,70.10
994,Pine Glen at Singing Hills Golf Resort,El Cajon,California,3007 Dehesa Rd,92019,-116.8844086,32.7769885,18,Resort,,,,,54,2508,,,54,2253,,
995,Willow Glen at Singing Hills Golf Resort,El Cajon,California,3007 Dehesa Rd,92019,-116.8844086,32.7769885,18,Resort,72,6605,124,72.00,72,6207,113,69.50,72,5585,122,72.80
1006,Encinitas Ranch Golf Course,Encinitas,California,1275 Quail Gardens Dr,92024,-117.2755109,33.0684443,18,Public,72,6821,127,72.20,72,6521,124,71.00,72,5285,128,73.70
1010,Eagle Crest Golf Club,Escondido,California,2492 Old Ranch Rd,92027,-117.0079478,33.1161481,18,Public,72,6417,136,71.60,72,6035,125,69.30,72,4941,123,69.90
1011,Meadow Lake Golf Club,Escondido,California,10333 Meadow Glen Way E,92026,-117.108721,33.214953,18,Semi-Private,72,6557,130,71.70,72,6287,127,70.70,74,5769,135,75.80
1013,The Fountains Executive at Welk Resort Center,Escondido,California,8860 Lawrence Welk Dr,92026,-117.1430197,33.2321295,18,Resort,62,4002,99,59.10,62,3581,93,56.80,62,3099,90,57.70
1014,Escondido Country Club,Escondido,California,1800 W Country Club Ln,92026,-117.1239016,33.1572804,18,Private,70,6140,117,69.30,70,5884,114,68.00,70,5536,125,73.50
1015,The Oaks at Welk Resort Center,Escondido,California,8860 Lawrence Welk Dr,92026,-117.1430197,33.2321295,18,Resort,,,,,54,1837,,,54,1652,,
1016,"Vineyard at Escondido, The",Escondido,California,925 San Pasqual Rd,92025,-117.0579853,33.0711695,18,Public,70,6531,125,70.30,70,6160,119,68.30,70,5073,117,70.30
1023,Fallbrook Golf Club,Fallbrook,California,2757 Gird Rd,92028,-117.191173,33.342226,18,Public,,,,,72,6223,119,69.90,72,5597,130,73.80
1024,Pala Mesa Resort,Fallbrook,California,2001 Old Hwy 395,92028,-117.16039,33.3562581,18,Resort,72,6528,131,72.00,72,6194,124,70.10,72,5848,128,74.50
1138,La Jolla Country Club,La Jolla,California,7301 High Ave Extension,92038,-117.2690552,32.8378839,18,Private,72,6685,129,72.90,72,6260,125,71.00,74,5970,141,76.50
1139,North at Torrey Pines Municipal Golf Course,La Jolla,California,11480 N Torrey Pines Rd,92037,-117.2446315,32.9041197,18,Public,72,6647,129,72.10,72,6326,119,70.00,74,6118,134,75.40
1143,Lake San Marcos at Lake San Marcos Country Club,Lake San Marcos,California,1750 San Pablo Dr,92069,-117.203166,33.1243094,18,Private,72,6515,124,71.50,72,6272,116,69.40,73,5942,125,73.60
1144,Executive at Lake San Marcos Country Club,Lake San Marcos,California,1750 San Pablo Dr,92069,-117.203166,33.1243094,18,Private,,,,,58,2700,,,58,2226,,
1145,Lake San Marcos Resort & Executive Golf Course,Lake San Marcos,California,1556 Camino Del Arroyo,92069,-117.2161326,33.1210247,18,Public,,,,,58,2700,,,58,2226,,
1146,Willowbrook Country Club,Lakeside,California,11905 Riverside Dr,92040,-116.936654,32.862673,9,Public,,,,,36,2972,107,33.65,36,2583,116,35.25
1311,Oceanside Center City Golf Course,Oceanside,California,Saratoga St,92054,-117.357826,33.199772,18,Public,66,4797,94,61.20,66,4447,93,60.30,66,4203,99,61.80
1312,Emerald Isle Golf Course,Oceanside,California,660 S El Camino Real,92057,-117.331847,33.213745,18,Public,56,2500,,55.40,56,2398,,54.50,56,2080,,56.00
1313,Oceanside Golf Course,Oceanside,California,825 Douglas Dr,92054,-117.3211917,33.2531378,18,Public,72,6450,118,70.80,72,6056,109,68.70,72,5398,121,71.60
1314,El Camino Country Club,Oceanside,California,3202 Vista Way,92056,-117.320145,33.18581,18,Private,72,6734,130,72.50,72,6362,119,70.00,72,5814,130,75.00
1315,Ocean Hills Country Club,Oceanside,California,4701 Leisure Village Way,92056,-117.264864,33.1543709,18,Private,,,,,55,2138,,,55,1904,,
1393,Pauma Valley Country Club,Pauma Valley,California,15835 Pauma Valley Dr,92061,-116.9888954,33.3027831,18,Private,71,7077,133,74.40,71,6465,125,71.30,72,5891,130,74.70
1426,Stoneridge Country Club,Poway,California,17166 Stoneridge Country Club Ln,92064,-117.038524,33.0241314,18,Private,72,6501,118,69.90,72,6274,111,68.50,73,5696,133,74.50
1428,San Vicente Inn & Golf Club,Ramona,California,24157 San Vicente Rd,92065,-116.8057606,33.002199,18,Resort,72,6633,123,71.50,72,6228,116,69.30,72,5543,128,72.80
1429,Mt. Woodson Country Club,Ramona,California,16422 N Woodson Dr,92065,-116.9554617,33.013673,18,Public,70,6113,,,70,5804,130,68.30,70,4441,116,65.90
1453,Rancho Santa Fe Golf Club,Rancho Santa Fe,California,5827 Via de La Cumbre,92067,-117.2089104,33.0246197,18,Private,72,6911,133,73.90,72,6452,129,71.80,74,5869,136,75.30
1454,South/North at Morgan Run Resort & Club,Rancho Santa Fe,California,5690 Concha De Golf,92091,-117.2091842,32.9908043,18,Resort,71,6469,123,71.20,71,6125,119,69.60,71,5409,123,71.20
1455,Del Mar Country Club,Rancho Santa Fe,California,6001 Clubhouse Dr,92067,-117.1951858,32.9776931,18,Private,72,6950,133,74.40,72,6508,123,71.20,72,5381,123,72.00
1456,Rancho Santa Fe Farms Golf Club,Rancho Santa Fe,California,8500 Saint Andrews Rd,92067,-117.177722,32.988311,18,Private,72,6850,140,73.80,72,6390,131,71.10,72,5511,134,73.40
1457,Fairbanks Ranch Country Club,Rancho Santa Fe,California,15150 San Dieguigo Rd,92067,-117.2117111,32.977163,18,Private,72,6722,128,72.50,72,6445,125,71.00,72,5724,132,74.40
1458,North/East at Morgan Run Resort & Club,Rancho Santa Fe,California,5690 Concha De Golf,92091,-117.2091842,32.9908043,18,Resort,71,6036,122,70.00,71,5914,118,68.60,71,5249,122,70.40
1459,East/South at Morgan Run Resort & Club,Rancho Santa Fe,California,5690 Concha De Golf,92091,-117.2091842,32.9908043,18,Resort,72,6456,125,71.20,72,6201,122,70.00,72,5542,123,71.20
1593,Twin Oaks Golf Course,San Marcos,California,1425 N Twin Oaks Valley Rd,92069,-117.1588506,33.1647898,18,Public,72,6535,124,71.20,72,6146,116,68.80,72,5423,120,71.60
1632,Carlton Oaks Lodge & Country Club,Santee,California,9200 Inwood Dr,92071,-117.0097332,32.8421584,18,Resort,72,7090,137,74.60,72,6537,127,71.30,72,4537,114,67.10
1647,Lomas Santa Fe Country Club,Solana Beach,California,1505 Lomas Santa Fe Dr,92075,-117.2402414,32.9951403,18,Private,72,6607,128,72.30,72,6208,122,70.00,72,5830,138,76.10
1648,Lomas Santa Fe Executive Golf Course,Solana Beach,California,1580 Sun Valley Rd,92075,-117.2433608,33.001332,18,Public,,,,,56,2295,,,56,2097,,
1756,Shadowridge Golf Club,Vista,California,1980 Gateway Dr,92083,-117.2304337,33.1686659,18,Private,72,6854,124,73.10,72,6361,114,69.90,72,5693,135,74.90
1757,Vista Valley Country Club,Vista,California,29354 Vista Valley Dr,92084,-117.1973911,33.2511708,18,Private,71,6345,130,71.10,71,6035,125,69.60,71,5627,133,74.40
1765,Warner Springs Ranch,Warner Springs,California,31652 Hwy 79,92086,-116.6341007,33.2831525,18,Private,72,6701,121,71.70,72,6252,116,69.10,72,5470,119,70.90
2248,Rock Creek Public Golf Course,Washington,District of Columbia,16 St & Rittenhouse Rd NW,20011,-73.9860114,40.7343956,18,Public,,,,,65,4715,112,62.50,65,4715,102,65.50
